movie_id,original_title,genres,synopsis,cover_url,orig_genre
88247,The Terminator,"['Action', 'Sci-Fi']","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Action
455944,The Equalizer,"['Action', 'Crime', 'Thriller']",A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,https://m.media-amazon.com/images/M/MV5BMTQ2MzE2NTk0NF5BMl5BanBnXkFtZTgwOTM3NTk1MjE@.jpg,Action
475944,The Covenant,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']","Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart.",https://m.media-amazon.com/images/M/MV5BNjI1MTM1OTEwMV5BMl5BanBnXkFtZTcwODYzNzUzMQ@@.jpg,Action
82971,Raiders of the Lost Ark,"['Action', 'Adventure']","Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.",https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@.jpg,Action
800080,The Incredible Hulk,"['Action', 'Adventure', 'Sci-Fi']","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@.jpg,Action
7991608,Red Notice,"['Action', 'Comedy', 'Thriller']","An Interpol agent successfully tracks down the world's most wanted art thief, with help from a rival thief. But nothing is as it seems, as a series of double-crosses ensue.",https://m.media-amazon.com/images/M/MV5BZmRjODgyMzEtMzIxYS00OWY2LTk4YjUtMGMzZjMzMTZiN2Q0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,Action
8244784,The Hunt,"['Action', 'Horror', 'Thriller']","Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",https://m.media-amazon.com/images/M/MV5BNjg4MjRhZjgtNTIxOS00MmRjLTg4NTEtNjBkNzkwZjAxMjMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,Action
351977,Walking Tall,"['Action', 'Crime']","A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",https://m.media-amazon.com/images/M/MV5BMTM0MjYzNzM1N15BMl5BanBnXkFtZTcwMDcwNDc3NA@@.jpg,Action
5013056,Dunkirk,"['Action', 'Drama', 'History', 'Thriller', 'War']","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@.jpg,Action
9376612,Shang-Chi and the Legend of the Ten Rings,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",https://m.media-amazon.com/images/M/MV5BNTliYjlkNDQtMjFlNS00NjgzLWFmMWEtYmM2Mzc2Zjg3ZjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,Action
1631867,Edge of Tomorrow,"['Action', 'Adventure', 'Sci-Fi']","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@.jpg,Action
434409,V for Vendetta,"['Action', 'Drama', 'Sci-Fi', 'Thriller']","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@.jpg,Action
13429928,Operation Seawolf,"['Action', 'Adventure', 'Mystery', 'Thriller', 'War']","In the last days of WWII, Germany, desperate for any last grasp to defeat the allied powers, formed together the German Navy and the last remaining U-Boats, for one last mission, to attack the United States Homeland.",https://m.media-amazon.com/images/M/MV5BNWU4N2I5MGYtMTJlNy00YzViLWFmZWMtOTg4MDk4OWNiMzBjXkEyXkFqcGdeQXVyMzQwMTY2Nzk@.jpg,Action
10671440,Blade,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",Plot is unknown at this time.,https://m.media-amazon.com/images/M/MV5BZDE0ZGJlMTYtOWY1OS00NGE4LTgzNTQtMDIxYTM5ZjU2NmVlXkEyXkFqcGdeQXVyODk4OTc3MTY@.jpg,Action
373889,Harry Potter and the Order of the Phoenix,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",https://m.media-amazon.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3.jpg,Action
363547,Dawn of the Dead,"['Action', 'Horror']","A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",https://m.media-amazon.com/images/M/MV5BN2M2ZmU2OGQtNmU5Yi00MTIyLTgwNWMtYjljMzZlYTdiNjBhXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,Action
119116,The Fifth Element,"['Action', 'Adventure', 'Sci-Fi']","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",https://m.media-amazon.com/images/M/MV5BZWFjYmZmZGQtYzg4YS00ZGE5LTgwYzAtZmQwZjQ2NDliMGVmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@.jpg,Action
7985704,Operation Fortune: Ruse de guerre,"['Action', 'Comedy', 'Thriller']",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,https://m.media-amazon.com/images/M/MV5BZGFmNmRlZmQtMDAyYy00NTJjLTg2ODQtZDI0OWE3M2I2NDcyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@.jpg,Action
7126948,Wonder Woman 1984,"['Action', 'Adventure', 'Fantasy']","Diana must contend with a work colleague, and with a businessman whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",https://m.media-amazon.com/images/M/MV5BYTlhNzJjYzYtNGU3My00ZDI5LTgzZDUtYzllYjU1ZmU0YTgwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@.jpg,Action
1637688,In Time,"['Action', 'Sci-Fi', 'Thriller']","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",https://m.media-amazon.com/images/M/MV5BMjA3NzI1ODc1MV5BMl5BanBnXkFtZTcwMzI5NjQwNg@@.jpg,Action
10580188,Guardians of Time,"['Action', 'Adventure']","One day, in the family manor, four cousins discover a passage leading to a mysterious world. Trapped in this unearthed land, the Kingdom of Keoherus, they must confront the Guardian of Time, face dark forces and beasts to hopefully get back home.",https://m.media-amazon.com/images/M/MV5BYTQxNGE1ZDEtMmQ5NC00NDY1LWE4MzEtNDE5NGQ1NjQzMGMzXkEyXkFqcGdeQXVyOTg4MDYyNw@@.jpg,Action
9243946,El Camino: A Breaking Bad Movie,"['Action', 'Crime', 'Drama', 'Thriller']","Fugitive Jesse Pinkman runs from his captors, the law, and his past.",https://m.media-amazon.com/images/M/MV5BNjk4MzVlM2UtZGM0ZC00M2M1LThkMWEtZjUyN2U2ZTc0NmM5XkEyXkFqcGdeQXVyOTAzMTc2MjA@.jpg,Action
5433138,F9,"['Action', 'Crime', 'Thriller']",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,https://m.media-amazon.com/images/M/MV5BMjI0NmFkYzEtNzU2YS00NTg5LWIwYmMtNmQ1MTU0OGJjOTMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@.jpg,Action
6791350,Guardians of the Galaxy Vol. 3,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",https://m.media-amazon.com/images/M/MV5BNmVhN2IyMTUtZTg3ZS00YWYxLTg3OTItMTFlNGM0MDYyNWI3XkEyXkFqcGdeQXVyODk4OTc3MTY@.jpg,Action
103064,Terminator 2: Judgment Day,"['Action', 'Sci-Fi']","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Action
19886242,Rorschach,"['Action', 'Thriller']",The Movie is about Luke Anthony who has a mysterious past and is out on a mission to seek revenge from someone who has destroyed him deeply,https://m.media-amazon.com/images/M/MV5BNWZmZWNkYTUtZmNjOC00MzUwLTg4NmQtMzFjZDg1MGU3NmQ0XkEyXkFqcGdeQXVyODA1MTcyNjE@.jpg,Action
15422240,Eraser: Reborn,"['Action', 'Crime', 'Thriller']",It is based on U.S. Marshal Mason Pollard who is specialized in engineering the fake deaths of witnesses that leaves no trace of their existence.,https://m.media-amazon.com/images/M/MV5BYTdkMmNlMDItMWJlYy00NDVjLWJkY2MtMWE4MWE0NDdjODY0XkEyXkFqcGdeQXVyMTY1NjM1Nzc@.jpg,Action
11655566,Lilo & Stitch,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",Live-action remake of Disney's animated classic 'Lilo and Stitch'.,https://m.media-amazon.com/images/M/MV5BYTMzMGU1MDItMzI5Yy00ZjRhLWEyOGItZWRhZjUwOTllMzEzXkEyXkFqcGdeQXVyMTU0NTk2OTYw.jpg,Action
2250912,Spider-Man: Homecoming,"['Action', 'Adventure', 'Sci-Fi']","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",https://m.media-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@.jpg,Action
