movie_id,original_title,genres,synopsis,cover_url,orig_genre
14824600,The Lord of the Rings: The War of the Rohirrim,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy']","The untold story behind Helm's Deep, hundreds of years before the fateful war, telling the life and bloodsoaked times of its founder, Helm Hammerhand, the King of Rohan.",https://m.media-amazon.com/images/M/MV5BNWU1NjZiODktMjc4Ni00Yjg4LWEzMzUtNTJiMzM0ZDQ5NWYzXkEyXkFqcGdeQXVyMTMzNTYwMjAz.jpg,Fantasy
13406136,The Princess,"['Action', 'Drama', 'Fantasy', 'Thriller']","When a strong-willed princess refuses to wed the cruel sociopath, she is kidnapped and locked in a remote tower of her father’s castle. With her vindictive suitor intent on taking her father’s throne, the princess must save the kingdom.",https://m.media-amazon.com/images/M/MV5BOGYyZjhkYTgtYzNlNC00NWEwLWEwMmQtZWI5Y2Y4OTk5Y2YwXkEyXkFqcGdeQXVyMTM1MTE1NDMx.jpg,Fantasy
1374989,Pride and Prejudice and Zombies,"['Action', 'Comedy', 'Fantasy', 'Horror', 'Romance']",Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,https://m.media-amazon.com/images/M/MV5BMjE1MzA3NzYxMl5BMl5BanBnXkFtZTgwMzQ0NDA5NzE@.jpg,Fantasy
8695030,The Dead Don't Die,"['Comedy', 'Fantasy', 'Horror', 'Sci-Fi']",The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,https://m.media-amazon.com/images/M/MV5BZWQxZDIzNzUtZGE3MS00MGU3LTk5NjMtZGFjMDljNDlmMWE1XkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg,Fantasy
1228987,Let Me In,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,https://m.media-amazon.com/images/M/MV5BNDQ4MjQ4OTMwMF5BMl5BanBnXkFtZTcwOTYzNDc4Mw@@.jpg,Fantasy
9362722,Spider-Man: Across the Spider-Verse,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and a new team of Spider-People to face off with a villain more powerful than anything they have ever encountered.::Sony Pictures",https://m.media-amazon.com/images/M/MV5BZGRhNDE1YjYtOGUzMC00YjliLThiOTgtYTkwNmQwNDZjYjFhXkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg,Fantasy
9907782,Eight for Silver,"['Fantasy', 'Horror', 'Mystery']","In rural 19th-century France, a mysterious, possibly supernatural menace threatens a small village. John McBride, a pathologist, comes to town to investigate the danger - and exorcise some of his own demons in the process.",https://m.media-amazon.com/images/M/MV5BMjllNWFhZWUtN2NlNi00NDBmLWE5MjgtMGM3ZGQyNjk1NjQ5XkEyXkFqcGdeQXVyMTM1MTE1NDMx.jpg,Fantasy
259711,Vanilla Sky,"['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,https://m.media-amazon.com/images/M/MV5BYzFlMTJjYzUtMWFjYy00NjkyLTg1Y2EtYmZkMjdlOGQ1ZGYwL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Fantasy
1661199,Cinderella,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",https://m.media-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@.jpg,Fantasy
870154,Jungle Cruise,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,https://m.media-amazon.com/images/M/MV5BNDE1MGRlNTQtZjc4ZC00MTI0LWEwY2MtODk1YTM2NmFmYTNmXkEyXkFqcGdeQXVyODk4OTc3MTY@.jpg,Fantasy
