movie_id,original_title,genres,synopsis,cover_url,orig_genre
498380,Letters from Iwo Jima,"['Action', 'Adventure', 'Drama', 'History', 'War']","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",https://m.media-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@.jpg,History
3672840,Tian jiang xiong shi,"['Action', 'Drama', 'Fantasy', 'History']","When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends.",https://m.media-amazon.com/images/M/MV5BMTk0MjgxOTQ5MF5BMl5BanBnXkFtZTgwODA3NTUwNjE@.jpg,History
472062,Charlie Wilson's War,"['Biography', 'Comedy', 'Drama', 'History']","A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.",https://m.media-amazon.com/images/M/MV5BMTgwMDgwMDc4MF5BMl5BanBnXkFtZTYwOTU3MDM4.jpg,History
3488710,The Walk,"['Adventure', 'Biography', 'Drama', 'History']","In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.",https://m.media-amazon.com/images/M/MV5BNTY4MzA4Mzc5Nl5BMl5BanBnXkFtZTgwNDIzMzk5NjE@.jpg,History
107007,Gettysburg,"['Drama', 'History', 'War']","In 1863, the Northern and Southern forces fight at Gettysburg in the decisive battle of the American Civil War.",https://m.media-amazon.com/images/M/MV5BZjgzNzhlYzEtMzYxYS00MTJkLWIzODUtZGQ3MmFiZDdkMTZiXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,History
4190530,Anthropoid,"['Action', 'Biography', 'Drama', 'History', 'Romance', 'Thriller', 'War']","Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",https://m.media-amazon.com/images/M/MV5BMjIxNzE0NjY1Nl5BMl5BanBnXkFtZTgwNjYzOTkxOTE@.jpg,History
1568911,War Horse,"['Action', 'Adventure', 'Drama', 'History', 'War']",Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,https://m.media-amazon.com/images/M/MV5BMjExNzkxOTYyNl5BMl5BanBnXkFtZTcwODA0MjU4Ng@@.jpg,History
82517,History of the World: Part I,"['Comedy', 'History', 'Musical']",Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,https://m.media-amazon.com/images/M/MV5BNjU4ZGUyYjUtYzVlMS00YWFmLWFjM2UtYTk5YjFlZmJhNDQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,History
2025690,The Finest Hours,"['Action', 'Drama', 'History', 'Thriller']",The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,https://m.media-amazon.com/images/M/MV5BNTY1MDU1NzYzN15BMl5BanBnXkFtZTgwOTA0MDQyNzE@.jpg,History
864761,The Duchess,"['Biography', 'Drama', 'History', 'Romance']","A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life.",https://m.media-amazon.com/images/M/MV5BMTU1MTQzMjgzNl5BMl5BanBnXkFtZTcwNTQxMzk3MQ@@.jpg,History
1020558,Centurion,"['Action', 'Drama', 'History', 'War']",A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is devastated in a guerrilla attack.,https://m.media-amazon.com/images/M/MV5BMTQ4NTI1MTEzM15BMl5BanBnXkFtZTcwNDc3NDc1Mw@@.jpg,History
5789976,King of Thieves,"['Biography', 'Crime', 'Drama', 'History']","A true crime movie about a crew of retired crooks who pull off a major heist in London's jewelry district. What starts off as their last criminal hurrah, quickly turns into a brutal nightmare due to greed.",https://m.media-amazon.com/images/M/MV5BYTBjMGY2NzktMTc0ZS00ZTViLWJlN2MtNTI4YjhmMjQ5NjhhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,History
93389,The Last Emperor,"['Biography', 'Drama', 'History']","Dramatization of China's last emperor, Puyi.",https://m.media-amazon.com/images/M/MV5BZTk0NDU4YmItOTk0ZS00ODc2LTkwNGItNWI5MDJkNTJiYWMxXkEyXkFqcGdeQXVyNjUwNzk3NDc@.jpg,History
379725,Capote,"['Biography', 'Crime', 'Drama', 'History']","In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.",https://m.media-amazon.com/images/M/MV5BMTczMzU0MjM1MV5BMl5BanBnXkFtZTcwMjczNzgyNA@@.jpg,History
12758486,Chevalier,"['Biography', 'Drama', 'History']","Based on the true story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African slave and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair.",https://m.media-amazon.com/images/M/MV5BMDBjZDNmYmMtYzM1ZC00NmZlLThmZjgtOWQwMGM3ZGU5Njk2XkEyXkFqcGdeQXVyMTA1OTY3OTY@.jpg,History
1186830,Agora,"['Adventure', 'Biography', 'Drama', 'History', 'Romance']","A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hope of pursuing freedom while falling in love with his mistress, the philosophy and mathematics professor Hypatia of Alexandria.",https://m.media-amazon.com/images/M/MV5BOThmZGM4OWQtZTk5Zi00YmFlLTg5MWQtNzNlNDc0OTdjNjdmXkEyXkFqcGdeQXVyMTAwMzUyMzUy.jpg,History
4005402,Colonia,"['Biography', 'Drama', 'History', 'Romance', 'Thriller']","A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from.",https://m.media-amazon.com/images/M/MV5BMjE3NjQ1MTIxNl5BMl5BanBnXkFtZTgwOTY4OTIzODE@.jpg,History
97499,Henry V,"['Biography', 'Drama', 'History', 'War']","In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",https://m.media-amazon.com/images/M/MV5BODdlYzU0ZGYtNWQ1YS00Nzk4LTllZTItZTEyNjkxMWI5ODk4L2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg,History
962736,The Young Victoria,"['Biography', 'Drama', 'History', 'Romance']","A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.",https://m.media-amazon.com/images/M/MV5BMTM4MjExMDk3NV5BMl5BanBnXkFtZTcwMTU3OTMwMw@@.jpg,History
6938828,At Eternity's Gate,"['Biography', 'Drama', 'History']","A look at the life of painter Vincent van Gogh during the time he lived in Arles and Auvers-sur-Oise, France.",https://m.media-amazon.com/images/M/MV5BOTRmZGJiZjUtMGJjYi00MzZhLTkzYjUtODE1Yjk5ZDRiODhlXkEyXkFqcGdeQXVyODAzODU1NDQ@.jpg,History
1014763,Child 44,"['Crime', 'Drama', 'History', 'Mystery', 'Thriller']",A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,https://m.media-amazon.com/images/M/MV5BMTk1NTkxOTc5Nl5BMl5BanBnXkFtZTgwODI0NTg0NDE@.jpg,History
1233301,Ironclad,"['Action', 'Drama', 'History', 'Romance', 'War']","In thirteenth-century England, a Knights Templar and a few of the Barons men fight to defend Rochester Castle against the tyrannical King John.",https://m.media-amazon.com/images/M/MV5BMjI1NTU2NTI5NV5BMl5BanBnXkFtZTcwNDYzOTI1NQ@@.jpg,History
5865326,The Laundromat,"['Comedy', 'Crime', 'Drama', 'History']","A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.",https://m.media-amazon.com/images/M/MV5BMjFjMGVmYjUtNGVmYy00NTAwLWJhNjAtZGFkYjgzNzI3YTY4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,History
10366514,Eiffel,"['Biography', 'Drama', 'History', 'Romance']","The government is asking Eiffel to design something spectacular for the 1889 Paris World Fair, but Eiffel simply wants to design the subway. Suddenly, everything changes when Eiffel crosses paths with a mysterious woman from Arun's past.",https://m.media-amazon.com/images/M/MV5BN2QzNWYwODAtZjY3Ny00MDRhLTllYTUtNDVkMTMxYzQyNmQzXkEyXkFqcGdeQXVyMTQzNTA5MzYz.jpg,History
74899,Midway,"['Action', 'Drama', 'History', 'War']",A dramatization of the battle that was widely heralded as a turning point of the Pacific Theatre of World War II.,https://m.media-amazon.com/images/M/MV5BMTU2ZmNiNWMtYTBkZi00YzU5LThlNjUtZWUyNjU0OTIxNTM4XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,History
349825,Miracle,"['Biography', 'Drama', 'History', 'Sport']","The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.",https://m.media-amazon.com/images/M/MV5BMjEyOTk1OTcyNV5BMl5BanBnXkFtZTYwNjMzNDU3.jpg,History
4622512,Battle of the Sexes,"['Biography', 'Comedy', 'Drama', 'History', 'Sport']",The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,https://m.media-amazon.com/images/M/MV5BZTljYmU2NTMtODhhNC00NjlhLWJhZTUtNDllODYyYWM4ZjA5XkEyXkFqcGdeQXVyNjM0ODk5NDY@.jpg,History
491203,Tulip Fever,"['Drama', 'History', 'Romance']",An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.,https://m.media-amazon.com/images/M/MV5BZDY3MTAyNmEtZDY1Yi00NGY5LTg1ZDctNDQ2N2FlMmRlYWU0XkEyXkFqcGdeQXVyNTQzOTc3MTI@.jpg,History
14117702,Trag divljaci,"['Drama', 'History', 'Thriller']","An aspiring journalist in Communist Yugoslavia, sets out on a journey to investigate a brutal murder in rural countryside.",https://m.media-amazon.com/images/M/MV5BY2MyOGY2NzktYzRmYi00NmIzLTg1Y2QtM2YyMjdiNDM3ZTQ4XkEyXkFqcGdeQXVyMTMyNjYzMDg@.jpg,History
14538850,Ted Bundy: American Boogeyman,"['Biography', 'Crime', 'Drama', 'History']","The intrepid FBI agents Kathleen McChesney and Robert Ressler, organize one of the largest manhunt in history to apprehend America's most infamous serial killer, Ted Bundy.",https://m.media-amazon.com/images/M/MV5BMDJkOGJmYzItNDRlOC00Njg4LWE0YTMtYmZmOTFmNGQzY2I4XkEyXkFqcGdeQXVyMTA3MDk2NDg2.jpg,History
1723808,Reagan,"['Biography', 'Drama', 'History']","A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office.",https://m.media-amazon.com/images/M/MV5BMzUxNDcwYjMtYjA5OS00OGI0LTljMDUtMzA1ODYyNTIxYzdiXkEyXkFqcGdeQXVyNTg3MTk2NDk@.jpg,History
146309,Thirteen Days,"['Drama', 'History', 'Thriller']","In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.",https://m.media-amazon.com/images/M/MV5BZDM5NzBkZWMtZDY2Ny00OGMxLTgzMDUtZDZkNzRhM2M5MDIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,History
8000908,Robert the Bruce,"['Biography', 'Drama', 'History', 'War']",The story of the nobleman-turned-outlaw hero who was crowned king of Scots in the 14th century.,https://m.media-amazon.com/images/M/MV5BY2MyZjRiMzktZmIwMS00OTU3LTkxNDEtMjM2MjNkNWMxZDA5XkEyXkFqcGdeQXVyNDExMzMxNjE@.jpg,History
116743,Kama Sutra: A Tale of Love,"['Crime', 'Drama', 'History', 'Romance']",Two female friends become sexual rivals at maturity.,https://m.media-amazon.com/images/M/MV5BNDY5Njc3OWMtYjQwNS00YzM0LTgxZTItNjVjZDk3MWQxYjEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@.jpg,History
74084,Novecento,"['Drama', 'History']","The epic tale of a class struggle in twentieth century Italy, as seen through the eyes of two childhood friends on opposing sides.",https://m.media-amazon.com/images/M/MV5BMmM3Njc4M2UtNzg4NS00ZGQyLWExYmMtMTFlMzA4NTdhNWQ4XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,History
414055,Elizabeth: The Golden Age,"['Biography', 'Drama', 'History', 'War']","A mature Queen Elizabeth endures multiple crises late in her reign including court intrigues, an assassination plot, the Spanish Armada, and romantic disappointments.",https://m.media-amazon.com/images/M/MV5BMTgzODIwNzcyMF5BMl5BanBnXkFtZTcwMTg0MTQ1MQ@@.jpg,History
49092,The Conqueror,"['Adventure', 'Biography', 'History', 'Romance', 'War']",Mongol chief Temujin battles against Tartar armies and for the love of the Tartar princess Bortai. Temujin becomes the emperor Genghis Khan.,https://m.media-amazon.com/images/M/MV5BZGVhMmJkZTEtZDQ4YS00N2M2LWJkNTEtNjA1NTZiM2JlYmZhXkEyXkFqcGdeQXVyMjA0MzYwMDY@.jpg,History
6133130,Professor Marston and the Wonder Women,"['Biography', 'Drama', 'History']","The story of psychologist William Moulton Marston, and his polyamorous relationship with his wife and their mistress who would inspire his creation of the superheroine, Wonder Woman.",https://m.media-amazon.com/images/M/MV5BMTcyMTQzMDIwNl5BMl5BanBnXkFtZTgwMTY1NjgzMzI@.jpg,History
469641,World Trade Center,"['Drama', 'History', 'Thriller']",Two Port Authority police officers become trapped under the rubble of the World Trade Center.,https://m.media-amazon.com/images/M/MV5BMTIxMzE5ODEwOV5BMl5BanBnXkFtZTcwMzM3MzIzMQ@@.jpg,History
10738536,Délicieux,"['Comedy', 'Drama', 'History']","France, 1789, just before the Revolution. With the help of a surprising young woman, a chef who has been sacked by his noble master finds the strength to free himself from his position as a servant and opens the first ever restaurant.",https://m.media-amazon.com/images/M/MV5BMmVjODI0OWMtMjNiNi00NWZhLThmMTAtOTM2YmM2MzhjNTI5XkEyXkFqcGdeQXVyMzAzMzkzNTU@.jpg,History
59245,The Greatest Story Ever Told,"['Biography', 'Drama', 'History']","An all-star, large scale epic movie that chronicles the life and ministry of Jesus Christ.",https://m.media-amazon.com/images/M/MV5BMTU4NDQ3Mzg3Ml5BMl5BanBnXkFtZTcwNjg5MTkzNA@@.jpg,History
7280898,22 July,"['Crime', 'Drama', 'History', 'Thriller']","A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.",https://m.media-amazon.com/images/M/MV5BNGY2MmQ0YTYtNjRjOS00ZjBhLThlMDMtN2FiY2ZjODhmNzU2XkEyXkFqcGdeQXVyOTA5NzQ0MDQ@.jpg,History
8482584,12 Mighty Orphans,"['History', 'Sport']","Haunted by his mysterious past, a devoted high-school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",https://m.media-amazon.com/images/M/MV5BZWMxNzA1NWEtYjgwMC00ZjkwLTljYjYtN2E3ZWIzODJlN2Y4XkEyXkFqcGdeQXVyOTgxNDIzMTY@.jpg,History
1020072,Selma,"['Biography', 'Drama', 'History']","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",https://m.media-amazon.com/images/M/MV5BZGZkNzFkYTgtYTBkZC00M2MzLWJhNzUtMGE4YzRhYmU2Zjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,History
4972,The Birth of a Nation,"['Drama', 'History', 'War']","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,History
10964530,The Furnace,"['Adventure', 'Drama', 'History', 'Thriller', 'Western']","To escape the outback, a young Afghan cameleer falls in with a mysterious bushman on the run with stolen Crown gold.",https://m.media-amazon.com/images/M/MV5BNDA3NzlkYjgtODlkZS00NGVlLWI4NWItYjRlNGI2ZTk4ZDQ1XkEyXkFqcGdeQXVyNTI3NDM2MzQ@.jpg,History
1536048,W.E.,"['Drama', 'History', 'Romance']","The affair between King Edward VIII and American divorcée Wallis Simpson, and a contemporary romance between a married woman and a Russian security guard.",https://m.media-amazon.com/images/M/MV5BMTQyMzMyMjkwM15BMl5BanBnXkFtZTcwNzIyODkxNw@@.jpg,History
808417,Persepolis,"['Animation', 'Biography', 'Drama', 'History', 'War']",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,https://m.media-amazon.com/images/M/MV5BMGRkZThmYzEtYjQxZC00OWEzLThjYjAtYzFkMjY0NGZkZWI4XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,History
58777,Zulu,"['Drama', 'History', 'War']",Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,https://m.media-amazon.com/images/M/MV5BYzdlYmQ3MWMtMDY3My00MzVmLTg0YmMtYjRlZDUzNjBlMmE0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,History
10648714,Chernobyl,"['Drama', 'History', 'Romance']",A story about a heroic fireman who worked as one of Chernobyl liquidators.,https://m.media-amazon.com/images/M/MV5BMDE3ODIzMTgtOWM0My00NzI0LTliMTUtMzUxMGNhZTgxZDIzXkEyXkFqcGdeQXVyNjcxMTIwNzU@.jpg,History
4703048,6 Days,"['Action', 'Drama', 'History', 'Thriller']","Based on the Iranian Embassy siege of 1980, this action-thriller dramatizes a six-day standoff between armed Iranian Arabs and SAS soldiers ready for a counterattack.",https://m.media-amazon.com/images/M/MV5BZmI0NjgzOTktMmU1OS00MmU2LWJkMzgtMzlkMWY4ZWRmZTY5XkEyXkFqcGdeQXVyNTEzMzUyNDI@.jpg,History
1440732,Bel Ami,"['Crime', 'Drama', 'History', 'Romance']",A chronicle of a young man's rise to power in Paris via his manipulation of the city's wealthiest and most influential women.,https://m.media-amazon.com/images/M/MV5BMTY4NzI0MDgxOF5BMl5BanBnXkFtZTcwODU4MDE2Nw@@.jpg,History
1276419,En kongelig affære,"['Biography', 'Drama', 'History', 'Romance']","A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever.",https://m.media-amazon.com/images/M/MV5BMTg3MDE4MTQ4NF5BMl5BanBnXkFtZTcwNDgwNDYyOA@@.jpg,History
98260,Scandal,"['Drama', 'History']","Based on the Profumo Scandal of 1963, an affair between an exotic dancer and the Minister of War shakes up the British government.",https://m.media-amazon.com/images/M/MV5BZmVmYzQ3NzQtNmI1Ny00ZjhkLWI3OTgtYjUwM2FmY2U1ZjQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@.jpg,History
2398149,J'accuse,"['Drama', 'History', 'Thriller']","In 1894, French Captain Alfred Dreyfus is wrongfully convicted of treason and sentenced to life imprisonment at Devil's island.",https://m.media-amazon.com/images/M/MV5BMmZlZmQ1N2YtMDhlOS00NmIxLTgyZTktNDI2YzRkMmE1OTIyXkEyXkFqcGdeQXVyNjAyNTIzOTM@.jpg,History
5360996,Mary Magdalene,"['Biography', 'Drama', 'History']",Twelve men heard and spread the message of Jesus. Only one woman understood it.,https://m.media-amazon.com/images/M/MV5BYTVjYmUxZDQtMDU0ZC00MzU0LWIwOTYtYjM1NjFiZmE1ZDBlXkEyXkFqcGdeQXVyODY3Nzc0OTk@.jpg,History
