movie_id,original_title,genres,synopsis,cover_url,orig_genre
3811906,Malignant,"['Crime', 'Horror', 'Mystery', 'Thriller']","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",https://m.media-amazon.com/images/M/MV5BYTc0NWIwOTYtNzEwYi00YmUyLTlmYWYtYjJiZjRjN2RjMjAxXkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg,Horror
1438176,Fright Night,"['Comedy', 'Horror']","When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?",https://m.media-amazon.com/images/M/MV5BMTU2MDc0NDY0M15BMl5BanBnXkFtZTcwOTgzMTYyNQ@@.jpg,Horror
89175,Fright Night,"['Fantasy', 'Horror']","A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead.",https://m.media-amazon.com/images/M/MV5BYTBlOTEzZjYtZTlmMC00OTYyLWIyMTAtNzMzZTRhNzU1YzAyL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Horror
13403046,Fresh,"['Comedy', 'Horror', 'Thriller']","FRESH follows Noa (Daisy Edgar-Jones), who meets the alluring Steve (Sebastian Stan) at a grocery store and - given her frustration with dating apps - takes a chance and gives him her number.",https://m.media-amazon.com/images/M/MV5BZTgxMGQ2ZDctYWY4Yy00YTI4LWIxMmYtOWViMGI5ZDIwMmFiXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1.jpg,Horror
1922777,Sinister,"['Horror', 'Mystery', 'Thriller']","A controversial true crime writer finds a box of super 8 home movies in his new home, revealing that the murder case he is currently researching could be the work of an unknown serial killer whose legacy dates back to the 1960s.",https://m.media-amazon.com/images/M/MV5BMjI5MTg1Njg0Ml5BMl5BanBnXkFtZTcwNzg2Mjc4Nw@@.jpg,Horror
3086442,"Ich seh, Ich seh","['Horror', 'Mystery', 'Thriller']","Twin boys move to a new house with their mother after she has face-changing cosmetic surgery, but under the bandages is someone the boys don't recognize.",https://m.media-amazon.com/images/M/MV5BMjAyMDU2NjU4OF5BMl5BanBnXkFtZTgwNDg5ODc0NjE@.jpg,Horror
113253,Halloween: The Curse of Michael Myers,"['Horror', 'Thriller']","Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.",https://m.media-amazon.com/images/M/MV5BMzQ3MjgzMWMtMjJhMy00MmVjLTllMzMtMWVjMmMxNTIzNWQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Horror
104070,Death Becomes Her,"['Comedy', 'Fantasy', 'Horror']","When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival.",https://m.media-amazon.com/images/M/MV5BNzM2YjIwMzgtZTg4Yy00NmJlLWIzOTYtYTQ0Zjc3NjIyZDcyXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Horror
289043,28 Days Later...,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",https://m.media-amazon.com/images/M/MV5BYTFkM2ViMmQtZmI5NS00MjQ2LWEyN2EtMTI1ZmNlZDU3MTZjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Horror
1591095,Insidious,"['Horror', 'Mystery', 'Thriller']",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,https://m.media-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@.jpg,Horror
119081,Event Horizon,"['Horror', 'Sci-Fi', 'Thriller']",A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,https://m.media-amazon.com/images/M/MV5BZGI0NDMwNjAtNGEzNC00MzA1LTlkMjQtYjBkYTZlZjAyZWEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Horror
82010,An American Werewolf in London,"['Comedy', 'Horror']",Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.,https://m.media-amazon.com/images/M/MV5BZGNmYWQzMGEtNDlhMS00NzEwLTkzMDItMDQ4MjkyMzRkNjFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Horror
9731534,The Night House,"['Horror', 'Mystery', 'Thriller']",A widow begins to uncover her recently deceased husband's disturbing secrets.,https://m.media-amazon.com/images/M/MV5BZmIwNjJhOGYtNDcyNi00Yjc4LThiNTktMDM2ZjFhM2YxMTljXkEyXkFqcGdeQXVyODk4OTc3MTY@.jpg,Horror
1139797,Låt den rätte komma in,"['Drama', 'Fantasy', 'Horror', 'Romance']","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",https://m.media-amazon.com/images/M/MV5BOWM4NTY2NTMtZDZlZS00NTgyLWEzZDMtODE3ZGI1MzI3ZmU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@.jpg,Horror
2900624,All Hallows' Eve,"['Horror', 'Thriller']",A babysitter finds a VHS tape which features various sinister murders performed by a psychotic clown.,https://m.media-amazon.com/images/M/MV5BODYxNjgzOTkxMF5BMl5BanBnXkFtZTgwMTcyNTUzMDE@.jpg,Horror
1259521,The Cabin in the Woods,"['Horror', 'Mystery', 'Thriller']","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",https://m.media-amazon.com/images/M/MV5BNTUxNzYyMjg2N15BMl5BanBnXkFtZTcwMTExNzExNw@@.jpg,Horror
185937,The Blair Witch Project,"['Horror', 'Mystery']","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Horror
