movie_id,original_title,genres,synopsis,cover_url,orig_genre
9185316,I Am Woman,"['Biography', 'Drama', 'Music', 'Romance']",The story of 1970s musician and activist Helen Reddy.,https://m.media-amazon.com/images/M/MV5BMmNmMDVjZDktYTc5YS00NGMwLWI2MWUtMTQzYTYxNzM0MDBmXkEyXkFqcGdeQXVyNTM0NTU5Mg@@.jpg,Music
1263670,Crazy Heart,"['Drama', 'Music', 'Romance']",A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,https://m.media-amazon.com/images/M/MV5BMTU0NDc5NjgzNl5BMl5BanBnXkFtZTcwNzc0NDIzMw@@.jpg,Music
9058654,Dinner in America,"['Comedy', 'Drama', 'Music', 'Romance']",An on-the-lam punk rocker and a young woman obsessed with his band unexpectedly fall in love and go on an epic journey together through America's decaying Midwestern suburbs.,https://m.media-amazon.com/images/M/MV5BMmY3YWNmNjQtMjY4MS00ZTcxLTlkN2ItNmI3YTMyMDk1MmRlXkEyXkFqcGdeQXVyMTI1ODEzMzgy.jpg,Music
68327,Cabaret,"['Drama', 'Music', 'Musical', 'Romance']",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,https://m.media-amazon.com/images/M/MV5BYzEzZWU3ZTctMGRmZi00YTBiLThhN2UtNzRmNjI5ZGRhOTJlXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,Music
109045,"The Adventures of Priscilla, Queen of the Desert","['Comedy', 'Music']",Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.,https://m.media-amazon.com/images/M/MV5BMTc5MDU1NzcyN15BMl5BanBnXkFtZTcwMDA0ODYyNA@@.jpg,Music
450188,La Môme,"['Biography', 'Drama', 'Music', 'Romance']","Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",https://m.media-amazon.com/images/M/MV5BOTBmZDZkNWYtODIzYi00N2Y4LWFjMmMtNmM1OGYyNGVhYzUzXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,Music
451079,Horton Hears a Who!,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music']",Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,https://m.media-amazon.com/images/M/MV5BYzk5YzhjODYtZDc3Mi00OTYyLWIyYzAtMzZjYTljYTYzODM1XkEyXkFqcGdeQXVyODU2MDg1NzU@.jpg,Music
84503,Pink Floyd: The Wall,"['Drama', 'Fantasy', 'Music']",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,https://m.media-amazon.com/images/M/MV5BMzYwMDZlZDktNGVlMC00OWVlLWI0MTktN2UwNTUxOWI1NjJhXkEyXkFqcGdeQXVyMzg1ODEwNQ@@.jpg,Music
109068,Airheads,"['Comedy', 'Crime', 'Music']",Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.,https://m.media-amazon.com/images/M/MV5BY2M3OWY0OTYtZWE5Yy00NDRkLTllYmUtOWVjOTMyZjJjNjhkXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,Music
2268016,Magic Mike XXL,"['Comedy', 'Drama', 'Music']","Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",https://m.media-amazon.com/images/M/MV5BNDMyODU3ODk3Ml5BMl5BanBnXkFtZTgwNDc1ODkwNjE@.jpg,Music
430308,Get Rich or Die Tryin',"['Biography', 'Crime', 'Drama', 'Music']",A tale of an inner city drug dealer who turns away from a life of crime to pursue his passion of rap music.,https://m.media-amazon.com/images/M/MV5BMTI4NTE0MTU2N15BMl5BanBnXkFtZTYwNzQ1OTc2.jpg,Music
93378,La Bamba,"['Biography', 'Drama', 'Music']",Biographical story of the rise from nowhere of early rock and roll singer Ritchie Valens who died at age 17 in a plane crash with Buddy Holly and The Big Bopper.,https://m.media-amazon.com/images/M/MV5BOWI0YjE4M2ItNzY2NC00MzA1LWFhZTktY2YxZjE0ODU0ZTc5XkEyXkFqcGdeQXVyMzU4Nzk4MDI@.jpg,Music
368794,I'm Not There,"['Biography', 'Drama', 'Music']","Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work.",https://m.media-amazon.com/images/M/MV5BMTY4MzM2MjcwNV5BMl5BanBnXkFtZTcwODg3MDU1MQ@@.jpg,Music
1355630,If I Stay,"['Drama', 'Fantasy', 'Music', 'Romance', 'Sci-Fi']","Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.",https://m.media-amazon.com/images/M/MV5BMjI4NjkxODMyMF5BMl5BanBnXkFtZTgwODYwODQ5MTE@.jpg,Music
841046,Walk Hard: The Dewey Cox Story,"['Comedy', 'Music']",Singer Dewey Cox overcomes adversity to become a musical legend.,https://m.media-amazon.com/images/M/MV5BMzAxNmRkODctY2ExMC00NjQwLTgwZDgtMjJiMGYxNWYyOTBkXkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg,Music
108551,What's Love Got to Do with It,"['Biography', 'Drama', 'Music']","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",https://m.media-amazon.com/images/M/MV5BYmQ1Yjk3N2UtODMwMy00MDVhLTkzNDctM2ZkODZmYzdhNjk3XkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg,Music
120770,A Night at the Roxbury,"['Comedy', 'Music', 'Romance']","Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury.",https://m.media-amazon.com/images/M/MV5BZTFjYmQ2ZTAtNGE4YS00NzMxLWIwZjItMjcyYzdjODRmZWQ1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@.jpg,Music
2179936,School Dance,"['Comedy', 'Drama', 'Music']",A high school freshman wants to be part of the most popular dance clique in his school but he tends to freeze in the spotlight and has no clue how he's going to pass the initiation.,https://m.media-amazon.com/images/M/MV5BNzEwMDEwMzUwNV5BMl5BanBnXkFtZTgwMTk0MjU5MTE@.jpg,Music
202470,Rock Star,"['Drama', 'Music']",Lead singer of a tribute band becomes lead singer of the real band he idolizes.,https://m.media-amazon.com/images/M/MV5BMzAxNzNmMzMtYTU4Ni00Y2IxLTk4MGEtZGExNmFiMzBjN2MyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Music
2056771,A Bigger Splash,"['Drama', 'Music', 'Thriller']",A famous rock star's vacation in Italy with her boyfriend is disrupted by the unexpected visit of an old friend and his daughter.,https://m.media-amazon.com/images/M/MV5BMTkxNzk3NzMwN15BMl5BanBnXkFtZTgwODc3ODQ4NzE@.jpg,Music
99800,House Party,"['Comedy', 'Music', 'Romance']","Kid decides to go to his friend Play's house party, but neither of them can predict what's in store for them on what could be the wildest night of their lives.",https://m.media-amazon.com/images/M/MV5BZTBkY2QyOTQtMTM3Ni00NmYwLTlkODYtYmRjZjE0NjQyZTBhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Music
426931,August Rush,"['Drama', 'Music']",An orphaned musical prodigy uses his gift to try to find his birth parents.,https://m.media-amazon.com/images/M/MV5BNDIwNjE3NjU2NV5BMl5BanBnXkFtZTcwNTQ2NjQzMw@@.jpg,Music
365830,Tenacious D in The Pick of Destiny,"['Adventure', 'Comedy', 'Music', 'Musical']","To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum.",https://m.media-amazon.com/images/M/MV5BMTUyMDA3OTc4MV5BMl5BanBnXkFtZTcwNzE5NjkzMQ@@.jpg,Music
120094,Selena,"['Biography', 'Drama', 'Music']","The true story of Selena, a Texas-born Tejano singer who rose from cult status to performing at the Astrodome, as well as having chart-topping albums on the Latin music charts.",https://m.media-amazon.com/images/M/MV5BZGE0Y2RlNmQtZDY0Ni00Njk5LWFiZWUtMzc5N2VlZTBhOGE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Music
65466,Beyond the Valley of the Dolls,"['Comedy', 'Drama', 'Music']","Three girls come to Hollywood to make it big, but find only sex, drugs and sleaze.",https://m.media-amazon.com/images/M/MV5BNzJlYmZhNTMtMWM2Yy00MDZiLWJlOGMtMTRkOTEzYmZlZWQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Music
11044858,Nocturne,"['Drama', 'Horror', 'Music', 'Thriller']",An incredibly gifted pianist makes a Faustian bargain to overtake her older sister at a prestigious institution for classical musicians.,https://m.media-amazon.com/images/M/MV5BNjU3NGRlOGUtMGYzMS00YzJkLWE2NzMtMTM0YmZmNjBiZTZkXkEyXkFqcGdeQXVyODE0OTU5Nzg@.jpg,Music
9308382,The High Note,"['Drama', 'Music', 'Romance']",A superstar singer and her overworked personal assistant are presented with a choice that could alter the course of their respective careers.,https://m.media-amazon.com/images/M/MV5BNmJjNGM0MWYtOTIwOS00NTEzLThhMWUtMzI4YzBjOGM0YmRlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,Music
443489,Dreamgirls,"['Drama', 'Music', 'Musical']","A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",https://m.media-amazon.com/images/M/MV5BMTY1MzIwNDQyNl5BMl5BanBnXkFtZTcwNDEwNzYyMw@@.jpg,Music
