movie_id,original_title,genres,synopsis,cover_url,orig_genre
1155056,"I Love You, Man","['Comedy', 'Romance']","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",https://m.media-amazon.com/images/M/MV5BMTU4MjI5NTEyNV5BMl5BanBnXkFtZTcwNjQ1NTMzMg@@.jpg,Romance
411705,9 Songs,"['Drama', 'Music', 'Romance']","In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts.",https://m.media-amazon.com/images/M/MV5BOGRiYjgwMmYtYWRjNi00MzkwLWJlOGUtYTg1ZThhODk3YWY0XkEyXkFqcGdeQXVyNTM0NTU5Mg@@.jpg,Romance
1068680,Yes Man,"['Comedy', 'Romance']","A man challenges himself to say ""yes"" to everything.",https://m.media-amazon.com/images/M/MV5BMzBmZTMzYmItNzhhMC00M2FkLWIxMGEtMjIxMjAwNmQ2ZmM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg,Romance
337563,13 Going on 30,"['Comedy', 'Fantasy', 'Romance']","A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.",https://m.media-amazon.com/images/M/MV5BMjE1NzI5NTkwMF5BMl5BanBnXkFtZTYwOTA4NzY2.jpg,Romance
114011,Now and Then,"['Comedy', 'Drama', 'Romance']",Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@.jpg,Romance
116209,The English Patient,"['Drama', 'Romance', 'War']","At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",https://m.media-amazon.com/images/M/MV5BOTkxZTdkNTQtM2QwOS00NzRlLWEyMGItYTcxOTE4NTgyNGVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Romance
113749,Mallrats,"['Comedy', 'Romance']","Both dumped by their girlfriends, two best friends seek refuge in the local mall.",https://m.media-amazon.com/images/M/MV5BYzAwNmMyNTEtZWI2MC00OTYzLWFlYzYtMmQ0MTdhYTYwNjNhXkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,Romance
959337,Revolutionary Road,"['Drama', 'Romance']",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,https://m.media-amazon.com/images/M/MV5BMTczNDgzMjczOV5BMl5BanBnXkFtZTcwOTU3MzMwMg@@.jpg,Romance
359950,The Secret Life of Walter Mitty,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']","When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he ever imagined.",https://m.media-amazon.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@.jpg,Romance
800039,Forgetting Sarah Marshall,"['Comedy', 'Drama', 'Romance']","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",https://m.media-amazon.com/images/M/MV5BMTYzODgzMjAyM15BMl5BanBnXkFtZTcwMTI3NzI2MQ@@.jpg,Romance
2752200,Jeune et jolie,"['Drama', 'Romance']","After losing her virginity, Isabelle takes up a secret life as a call girl, meeting her clients for hotel-room trysts. Throughout, she remains curiously aloof, showing little interest in the encounters themselves or the money she makes.",https://m.media-amazon.com/images/M/MV5BNzE5MzA4ODY1OV5BMl5BanBnXkFtZTgwOTMzMTczMTE@.jpg,Romance
6108178,Disobedience,"['Drama', 'Romance']","A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality.",https://m.media-amazon.com/images/M/MV5BMzYxNDI5OTcwMV5BMl5BanBnXkFtZTgwODc4MzE3NDM@.jpg,Romance
1120985,Blue Valentine,"['Drama', 'Romance']","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",https://m.media-amazon.com/images/M/MV5BMTU4MTQ2MzA1Ml5BMl5BanBnXkFtZTcwODE3NTgwNA@@.jpg,Romance
