movie_id,original_title,genres,synopsis,cover_url,orig_genre
14218830,Abbott Elementary,"['Short', 'Comedy']","Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching.",https://m.media-amazon.com/images/M/MV5BMTY1MWUwYjItY2JmYi00ZDgyLTgzMjUtNzNkMzg0NjNjYTdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz.jpg,Short
9561862,"Love, Death & Robots","['Animation', 'Short', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",https://m.media-amazon.com/images/M/MV5BYTNiYTNkNTAtYzE3ZS00ZDQ1LWEwZTYtZjI1NzYzMWJjY2U4XkEyXkFqcGdeQXVyODk4OTc3MTY@.jpg,Short
2080323,Hotel Desire,"['Short', 'Drama', 'Romance']","A young single mother drops her son of at the bus stop to visit his dad in Paris. After being late for work, she almost gets fired. At the end of her duties she gets into a tricky situation which she handles, with the advice her colleague gave her.",https://m.media-amazon.com/images/M/MV5BYjNmZjIzNjItNDMxMS00ZjNjLTg3ZDYtZjliYmM1M2MxOTUzXkEyXkFqcGdeQXVyNjUzNDkzMDI@.jpg,Short
3718778,Over the Garden Wall,"['Animation', 'Short', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Mystery']",Two brothers find themselves lost in a mysterious land and try to find their way home.,https://m.media-amazon.com/images/M/MV5BYzhjNzI0NWEtMzEyYy00OGViLThhMjctMWQxNGQ3Y2IzOTY4XkEyXkFqcGdeQXVyNjAwNDUxODI@.jpg,Short
10329024,Bob Hearts Abishola,"['Short', 'Comedy', 'Romance']",An American guy falls in love with his Nigerian nurse.,https://m.media-amazon.com/images/M/MV5BOGEzOTc3MTctY2ExZi00MDViLWFkYTQtN2Y2MDFmN2NhZTI4XkEyXkFqcGdeQXVyNjc0MjkzNjc@.jpg,Short
11502498,Kenobi: A Star Wars Fan Film,"['Short', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","After years in hiding, Obi-Wan Kenobi struggles to reconnect with the Force in order to protect Luke Skywalker from Imperial forces.",https://m.media-amazon.com/images/M/MV5BOGUwZjg2NjUtMGViZC00ZjgxLTljZTYtNWU0ODcyNzg2NzBhXkEyXkFqcGdeQXVyMzMxMzQ2ODA@.jpg,Short
13623148,I Am Groot,"['Animation', 'Short', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",A series of shorts featuring the seedling Groot along with several new and unusual characters.,https://m.media-amazon.com/images/M/MV5BMjMzODFiNjgtZmQwZC00YmFmLWI5MTQtYjc1YjQzN2Y4NjgyXkEyXkFqcGdeQXVyMTUzMTg2ODkz.jpg,Short
20723374,Tales of the Jedi,"['Animation', 'Short', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",It showcases animated shorts that feature Jedi from the prequel era.,https://m.media-amazon.com/images/M/MV5BODMwYmE1ZGItYWVjNi00ZWUxLWFjYjQtNjdjN2MzNzY0NmRlXkEyXkFqcGdeQXVyMTUzMTg2ODkz.jpg,Short
4163486,Bee and PuppyCat,"['Animation', 'Short', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']","Bee, an unemployed woman, is living a normal life until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space.""",https://m.media-amazon.com/images/M/MV5BMjliZWQwNmUtMDZiNC00M2MwLTgwZTAtM2YwOWUzY2NhNjRjXkEyXkFqcGdeQXVyNTQxNTM1Njg@.jpg,Short
11650610,Laura Hasn't Slept,"['Short', 'Horror']","Desperate to rid herself of a recurring nightmare, a young woman seeks the help of her therapist.",https://m.media-amazon.com/images/M/MV5BYmNiOTg0ZTItMTUwOS00NDAzLWIwMjUtOTY4ZmRjZWRjMjMyXkEyXkFqcGdeQXVyOTEzOTk3ODc@.jpg,Short
2018130,Terrifier,"['Short', 'Horror']","After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",https://m.media-amazon.com/images/M/MV5BZTFhMDViMTYtOWE3ZC00MmM5LTgxZmEtNzc2NjAzZDJmMTc5XkEyXkFqcGdeQXVyNTEwNDY2MjU@.jpg,Short
12597800,Home Movie: The Princess Bride,"['Short', 'Comedy', 'Fantasy']",Serialized remake of 'The Princess Bride' told in short chapters featuring celebrities at home during quarantine.,https://m.media-amazon.com/images/M/MV5BZjU3ZWUwZDgtMTEwOC00NGU1LWI5ZDUtYWQyMjY1YWQzYjQwXkEyXkFqcGdeQXVyNTk5NTQzNDI@.jpg,Short
12968224,Bruce Mercury and the Band of Pirates: XXX Lust,"['Short', 'Music']",,https://m.media-amazon.com/images/M/MV5BNGVhYzE2ZTktNDM1Ny00MWE2LTk3OGMtMDFhMmRkZGVjZGEzXkEyXkFqcGdeQXVyMTQ0NDUxNTg@.jpg,Short
14344936,Black Adam Precursor,"['Animation', 'Short', 'Fantasy']","5000 years ago, living as a slave under a culture rich with wealth and magic, Teth-Adam gains the powers of Shazam and uses them against his masters. Shazam interferes, locking Adam away until the present day. Black Adam is ""destroying bullies"" when the Justice Society step in to help. They include Hawkman and Doctor Fate, who Adam seems to be familiar with, as well as the newcomers Cyclone and Atom Smasher. Adam describes them as an organization who believes in truth and justice, and then proceeds to fly into the air, promising to teach them that the only beliefs for which he fights are his own.::Anonymous",https://m.media-amazon.com/images/M/MV5BZDIxYjAzY2EtZjVjNS00OWI4LTljMDMtZWRmYTA4NDEwNWMxXkEyXkFqcGdeQXVyMTEyNzgwMDUw.jpg,Short
